"Qty","manufacturerName","manufacturerPartNumber","mouserPartNumber"
"1","TDK","CGA3E2X7R1E104K080AA","810-CGA3E2X7R1E104K"
"1","TDK","CGA3E2X7R1E104K080AA","810-CGA3E2X7R1E104K"
"1","TDK","CGA3E2X7R1E104K080AA","810-CGA3E2X7R1E104K"
"1","TDK","CGA3E2X7R1E104K080AA","810-CGA3E2X7R1E104K"
"1","TDK","CGA3E2X7R1E104K080AA","810-CGA3E2X7R1E104K"
"1","TDK","CGA3E2X7R1E104K080AA","810-CGA3E2X7R1E104K"
"1","TDK","CGA3E2X7R1E104K080AA","810-CGA3E2X7R1E104K"
"1","TDK","CGA3E2X7R1E104K080AA","810-CGA3E2X7R1E104K"
"1","TDK","C1608X7S1A475K080AC","810-C1608X7S1A475KAC"
"1","TDK","C1608X7S1A475K080AC","810-C1608X7S1A475KAC"
"1","TDK","C1608X7S1A475K080AC","810-C1608X7S1A475KAC"
"1","TDK","C1608X7S1A475K080AC","810-C1608X7S1A475KAC"
"1","TDK","C1608X7S1A475K080AC","810-C1608X7S1A475KAC"
"1","TDK","C1608X7S1A475K080AC","810-C1608X7S1A475KAC"
"1","TDK","C1608X7S1A475K080AC","810-C1608X7S1A475KAC"
"1","KEMET","C0603C106M8PACTU","80-C0603C106M8PACTU"
"1","KEMET","C0603C106M8PACTU","80-C0603C106M8PACTU"
"1","KEMET","C0603C106M8PACTU","80-C0603C106M8PACTU"
"1","KEMET","C0603C106M8PACTU","80-C0603C106M8PACTU"
"1","KEMET","C0603C106M8PACTU","80-C0603C106M8PACTU"
"1","TDK","CGA3E1X7R1E105K080AC","810-CGA3E1X7R1E105K"
"1","TDK","CGA3E1X7R1E105K080AC","810-CGA3E1X7R1E105K"
"1","TDK","CGA3E1X7R1E105K080AC","810-CGA3E1X7R1E105K"
"1","TDK","CGA3E1X7R1E105K080AC","810-CGA3E1X7R1E105K"
"1","TDK","CGA3E1X7R1E105K080AC","810-CGA3E1X7R1E105K"
"1","TDK","CGA3E1X7R1E105K080AC","810-CGA3E1X7R1E105K"
"1","TDK","CGA3E1X7R1E105K080AC","810-CGA3E1X7R1E105K"
"1","TDK","CGA3E1X7R1E105K080AC","810-CGA3E1X7R1E105K"
"1","Molex","217179-0001","538-217179-0001"
"1","KeyStone","1024TR","534-1024TR"
"1","JST","B2B-XH-A(LF)(SN)","NA"
"1","JST","B2B-XH-A(LF)(SN)","NA"
"1","Molex","73391-0080","538-73391-0080"
"1","TE Connectivity","2-1734839-4","571-2-1734839-4"
"1","Sparkfun - JST","SM04B-SRSS-TB(LF)(DN)(P)","306-SM04BSRSSTBLFDNP"
"1","Amphenol FCI","NA","NA"
"1","Vishay","SS1FL3HM3/H","78-SS1FL3HM3/H"
"1","Vishay","SS1FL3HM3/H","78-SS1FL3HM3/H"
"1","Vishay","SS1FL3HM3/H","78-SS1FL3HM3/H"
"1","NA","NA","NA"
"1","NA","NA","NA"
"1","NA","NA","NA"
"1","Seeed Technology","114993121","713-114993121"
"1","Silicon Labs","CP2102N-A02-GQFN24R","634-CP2102NA02QFN24R"
"1","STMicroelectronics","USBLC6-2P6","511-USBLC6-2P6"
"1","Bosch Sensortec","BME680","262-BME680"
"1","Sensirion","SHT40-BD1B-R2","403-SHT40-AD1F-R2"
"1","ams Osram","TSL25911FN","985-TSL25911FN"
"1","ROHM","BR24G1MFVT-5AE2","755-BR24G1MFVT-5AE2"
"1","ROHM","BR24G1MFVT-5AE2","755-BR24G1MFVT-5AE2"
"1","ROHM","BR24G1MFVT-5AE2","755-BR24G1MFVT-5AE2"
"1","ROHM","BR24G1MFVT-5AE2","755-BR24G1MFVT-5AE2"
"1","e-Peas","AEM00920","NA"
"1","MICROCHIP","MCP73123T-22SI/MF","579-MCP73123T-22SIMF"
"1","NA","NA","NA"
"1","TDK","VLS3010CX-470M-1","810-VLS3010CX470M1"
"1","TDK","VLS3010CX-220M-1","810-VLS3010CX220M1"
"1","Panjit","PJC7400_R1_00001","241-PJC7400_R1_00001"
"1","Vishay Siliconix","SI2367DS-T1-GE3","781-SI2367DS-GE3"
"1","Vishay Siliconix","SI2367DS-T1-GE3","781-SI2367DS-GE3"
"1","Vishay Siliconix","SI2367DS-T1-GE3","781-SI2367DS-GE3"
"1","Panasonic","ERJ-3RQJ2R2V","667-ERJ-3RQJ2R2V"
"1","Bourns","CR0603-FX-6800ELF",""
"1","Bourns","CR0603-JW-102ELF","652-CR0603-JW-102ELF"
"1","Bourns","CR0603JW-332ELF","652-CR0603JW-332EL"
"1","Bourns","CR0603JW-332ELF",""
"1","Bourns","CR0603FX-5101ELF","652-CR0603FX-5101ELF"
"1","Bourns","CR0603FX-5101ELF","652-CR0603FX-5101ELF"
"1","Bourns","CR0603FX-5101ELF","652-CR0603FX-5101ELF"
"1","Bourns","CR0603FX-5101ELF","652-CR0603FX-5101ELF"
"1","Bourns","CR0603FX-5101ELF","652-CR0603FX-5101ELF"
"1","Bourns","CR0603JW-752ELF",""
"1","Bourns","CR0603-JW-103ELF","652-CR0603-JW-103ELF"
"1","Bourns","CR0603FX-2212ELF","652-CR0603FX-2212ELF"
"1","Bourns","CR0603FX-3752ELF",""
"1","Bourns","CR0603FX-4752ELF","652-CR0603FX-4752ELF"
"1","Bourns","CR0603FX-2203ELF",""
"1","Bourns","CR0603-FX-1004ELF","652-CR0603FX-1004ELF"
"1","Bourns","CR0603-FX-1004ELF","652-CR0603FX-1004ELF"
"1","Wurth Electronics","434331045822","710-434331045822"
"1","Alps Alpine","SLLB510100",""
